layer,timestamp,activity_score,peak_amplitude,dominant_frequency,patterns
physical_layer,2025-10-06 00:16:09.875384,0.904806521394636,0.3124630626441368,1454.5454545454545,
physical_layer,2025-10-06 00:16:10.175466,1.0993363152976632,0.43346026073245003,1454.5454545454545,amplitude_spike
physical_layer,2025-10-06 00:16:10.502418,1.1809175456546157,0.4947508896710425,1454.5454545454545,
physical_layer,2025-10-06 00:16:10.811555,1.0126278073573995,0.42978970153898666,1000.0,
physical_layer,2025-10-06 00:16:11.122891,0.9824832483249051,0.4473556085719901,1000.0,
physical_layer,2025-10-06 00:16:11.461219,0.8219227389565553,0.3956667848502898,1000.0,
physical_layer,2025-10-06 00:16:11.765649,0.5412166624334778,0.26848550359040696,1000.0,
physical_layer,2025-10-06 00:16:12.078790,0.41077984340668233,0.19351470709778434,1454.5454545454545,
physical_layer,2025-10-06 00:16:12.398025,0.44835424657741807,0.1802633710883968,1454.5454545454545,
physical_layer,2025-10-06 00:16:12.737305,0.5394685927005994,0.1787699798862149,1727.2727272727273,
physical_layer,2025-10-06 00:16:13.058295,0.9714672328017644,0.31199492919947697,1727.2727272727273,
physical_layer,2025-10-06 00:16:13.376989,1.2546765308087846,0.4339452537503296,1727.2727272727273,cross_layer_interference
physical_layer,2025-10-06 00:16:13.684469,1.1197815246556782,0.455034744669951,1727.2727272727273,
physical_layer,2025-10-06 00:16:14.008788,1.3395568157409534,0.5521700410123271,1454.5454545454545,cross_layer_interference
physical_layer,2025-10-06 00:16:14.315234,1.271191025530091,0.48675067366219515,1454.5454545454545,cross_layer_interference
physical_layer,2025-10-06 00:16:14.620374,1.0781192472626908,0.3818801965194287,1454.5454545454545,
physical_layer,2025-10-06 00:16:14.956922,0.695303905516757,0.2412520037808637,1000.0,
physical_layer,2025-10-06 00:16:15.268637,0.40214640824884273,0.15851452639003438,1818.181818181818,
physical_layer,2025-10-06 00:16:15.587880,0.43871383236607825,0.2100040656681431,1818.181818181818,
physical_layer,2025-10-06 00:16:15.900932,0.5203357366161482,0.2662958371840261,1818.181818181818,
physical_layer,2025-10-06 00:16:16.234891,0.8008980763486073,0.4045641532565197,1818.181818181818,
physical_layer,2025-10-06 00:16:16.549836,1.0890852462414504,0.5032011335305691,1454.5454545454545,
physical_layer,2025-10-06 00:16:16.864270,1.4921433619548838,0.5954100424305964,1454.5454545454545,cross_layer_interference
physical_layer,2025-10-06 00:16:17.177565,1.4305554764764916,0.4924924030819482,1454.5454545454545,cross_layer_interference
physical_layer,2025-10-06 00:16:17.506697,1.26837295913355,0.43232511772826976,1000.0,cross_layer_interference
physical_layer,2025-10-06 00:16:17.811392,1.089019249293214,0.3507113586901724,1000.0,
physical_layer,2025-10-06 00:16:18.117467,0.8444141264222962,0.2598233520775599,1000.0,
physical_layer,2025-10-06 00:16:18.447564,0.6396092033690159,0.21965365038373005,1454.5454545454545,
physical_layer,2025-10-06 00:16:18.757846,0.6474861343765451,0.2254080030448984,1454.5454545454545,
physical_layer,2025-10-06 00:16:19.074302,0.7534050844880196,0.2735861586811209,1818.181818181818,
physical_layer,2025-10-06 00:16:19.388803,0.850083186568863,0.3656669964345353,1818.181818181818,
physical_layer,2025-10-06 00:16:19.722945,0.8820486248911713,0.4656703352281454,1909.090909090909,
physical_layer,2025-10-06 00:16:20.032105,0.9106234588912062,0.5221459143526275,1818.181818181818,
physical_layer,2025-10-06 00:16:20.344288,0.9769580547459812,0.5442673925576624,1454.5454545454545,
physical_layer,2025-10-06 00:16:20.652561,1.0549219914667647,0.48625885778235123,1454.5454545454545,
physical_layer,2025-10-06 00:16:20.984527,1.0402378839039597,0.36364698183147115,1454.5454545454545,
physical_layer,2025-10-06 00:16:21.298023,0.8193519833780454,0.2336165031707275,1000.0,
physical_layer,2025-10-06 00:16:21.620034,0.6026423079334517,0.17034483930431532,1818.181818181818,
physical_layer,2025-10-06 00:16:21.945267,0.5645660429756494,0.1728334573662374,1818.181818181818,
physical_layer,2025-10-06 00:16:22.254465,0.7699434887171037,0.25195776361544076,1818.181818181818,
physical_layer,2025-10-06 00:16:22.557189,1.26249712010497,0.41693480848569114,1454.5454545454545,
physical_layer,2025-10-06 00:16:22.864895,1.3156922726503577,0.49797403291858566,1454.5454545454545,cross_layer_interference
physical_layer,2025-10-06 00:16:23.189372,1.072542753143673,0.4485918210645068,1454.5454545454545,
physical_layer,2025-10-06 00:16:23.498434,1.0997528149362066,0.4751282932690477,1454.5454545454545,
physical_layer,2025-10-06 00:16:23.807415,0.990825082266433,0.4650410849779514,1090.909090909091,
physical_layer,2025-10-06 00:16:24.123654,0.6881540150363825,0.34283104025828565,1090.909090909091,
physical_layer,2025-10-06 00:16:24.463432,0.6373710010706125,0.30872434923820313,1454.5454545454545,
physical_layer,2025-10-06 00:16:24.779969,0.5096814844446479,0.22203173519230274,1454.5454545454545,
physical_layer,2025-10-06 00:16:25.086011,0.7510183772140258,0.27272660253281145,1454.5454545454545,
physical_layer,2025-10-06 00:16:25.398509,0.9533899251513152,0.2954793849242855,1909.090909090909,
data_link_layer,2025-10-06 00:16:09.875384,1.8068760732708724,0.6273532896323004,2454.5454545454545,"high_activity, cross_layer_interference"
data_link_layer,2025-10-06 00:16:10.175466,1.5807517332450396,0.6264066641944033,2454.5454545454545,"high_activity, cross_layer_interference"
data_link_layer,2025-10-06 00:16:10.502418,1.7233976379156468,0.6822747415940159,2454.5454545454545,"high_activity, cross_layer_interference"
