frequency,audio_amplitude,radio_amplitude,combined_amplitude,amplitude_ratio
0.2,-23.585869635382934,0.0,-23.585869635382934,0.0
100.20998099809982,8.392292048311422,0.0,8.392292048311422,0.0
200.21996199619963,-0.11651643236583054,0.0,-0.11651643236583054,0.0
300.22994299429945,3.106817450870941,0.0,3.106817450870941,0.0
400.23992399239927,-1.8071552095301586,0.0,-1.8071552095301586,0.0
500.2499049904991,-10.333209577126087,0.0,-10.333209577126087,0.0
600.259885988599,-8.424834723996947,0.0,-8.424834723996947,0.0
700.2698669866988,-9.325426526182046,0.0,-9.325426526182046,0.0
800.2798479847986,-11.723769333607358,0.0,-11.723769333607358,0.0
900.2898289828984,-12.29974539952519,0.0,-12.29974539952519,0.0
1000.2998099809982,-17.106675424850554,0.0,-17.106675424850554,0.0
1100.3097909790981,-20.498184868969513,0.0,-20.498184868969513,0.0
1200.319771977198,-14.649253394047285,0.0,-14.649253394047285,0.0
1300.3297529752977,-25.07571324438634,0.0,-25.07571324438634,0.0
1400.3397339733976,-13.604873604233847,0.0,-13.604873604233847,0.0
1500.3497149714974,-21.55124767962515,0.0,-21.55124767962515,0.0
1600.3596959695972,-18.05637439250872,0.0,-18.05637439250872,0.0
1700.369676967697,-11.233614430335491,0.0,-11.233614430335491,0.0
1800.3796579657967,-10.746576551543033,0.0,-10.746576551543033,0.0
1900.3896389638967,-10.288625709321952,0.0,-10.288625709321952,0.0
2000.3996199619965,-10.844500637937777,0.0,-10.844500637937777,0.0
2100.409600960096,-20.06228153213805,0.0,-20.06228153213805,0.0
2200.419581958196,-17.077568377341613,0.0,-17.077568377341613,0.0
2300.4295629562957,-29.671161007486933,0.0,-29.671161007486933,0.0
2400.4395439543955,-17.188790998831976,0.0,-17.188790998831976,0.0
2500.4495249524953,-27.638586506597985,0.0,-27.638586506597985,0.0
2600.459505950595,-16.57176375573122,0.0,-16.57176375573122,0.0
2700.469486948695,-22.357464875899048,0.0,-22.357464875899048,0.0
2800.479467946795,-30.72488579921283,0.0,-30.72488579921283,0.0
2900.489448944895,-23.621960904143172,0.0,-23.621960904143172,0.0
3000.4994299429945,-19.65859840295483,0.0,-19.65859840295483,0.0
3100.5094109410943,-20.792705614495414,0.0,-20.792705614495414,0.0
3200.519391939194,-19.069478782436708,0.0,-19.069478782436708,0.0
3300.529372937294,-16.790089894848677,0.0,-16.790089894848677,0.0
3400.5393539353936,-28.781878637941208,0.0,-28.781878637941208,0.0
3500.5493349334934,-21.695340913897134,0.0,-21.695340913897134,0.0
3600.559315931593,-22.437407792760055,0.0,-22.437407792760055,0.0
3700.5692969296933,-27.362630488065957,0.0,-27.362630488065957,0.0
3800.579277927793,-21.70642715453846,0.0,-21.70642715453846,0.0
3900.589258925893,-33.25839402796104,0.0,-33.25839402796104,0.0
4000.5992399239926,-24.463945927523476,0.0,-24.463945927523476,0.0
4100.609220922092,-25.196950898522473,0.0,-25.196950898522473,0.0
4200.619201920193,-27.258817058531314,0.0,-27.258817058531314,0.0
4300.629182918292,-27.596296033101527,0.0,-27.596296033101527,0.0
4400.639163916392,-28.05978823856655,0.0,-28.05978823856655,0.0
4500.649144914491,-27.147677644518033,0.0,-27.147677644518033,0.0
4600.659125912592,-30.03126910749601,0.0,-30.03126910749601,0.0
4700.669106910691,-31.757625913700654,0.0,-31.757625913700654,0.0
4800.679087908791,-31.919838366550966,0.0,-31.919838366550966,0.0
4900.689068906891,-26.063653516472552,0.0,-26.063653516472552,0.0
5000.699049904991,-43.6008809772633,0.0,-43.6008809772633,0.0
5100.709030903091,-25.039483354854283,0.0,-25.039483354854283,0.0
5200.71901190119,-22.831009124143904,0.0,-22.831009124143904,0.0
5300.7289928992905,-19.95793340487549,0.0,-19.95793340487549,0.0
5400.73897389739,-29.155710102415306,0.0,-29.155710102415306,0.0
5500.74895489549,-27.320026982809747,0.0,-27.320026982809747,0.0
5600.75893589359,-22.60160298491002,0.0,-22.60160298491002,0.0
5700.7689168916895,-25.238207617201105,0.0,-25.238207617201105,0.0
5800.77889788979,-27.293222748786782,0.0,-27.293222748786782,0.0
5900.788878887889,-22.937091769812035,0.0,-22.937091769812035,0.0
6000.798859885989,-28.086978920760778,0.0,-28.086978920760778,0.0
6100.808840884089,-25.361792777716886,0.0,-25.361792777716886,0.0
6200.818821882189,-28.334564704518908,0.0,-28.334564704518908,0.0
6300.828802880288,-22.471625855267245,0.0,-22.471625855267245,0.0
6400.838783878388,-31.51113581636705,0.0,-31.51113581636705,0.0
6500.8487648764885,-28.997739527183146,0.0,-28.997739527183146,0.0
6600.858745874588,-29.353343737976687,0.0,-29.353343737976687,0.0
6700.868726872688,-25.340323228497333,0.0,-25.340323228497333,0.0
6800.878707870787,-13.12297740371249,0.0,-13.12297740371249,0.0
6900.888688868888,-13.450897159972872,0.0,-13.450897159972872,0.0
7000.898669866987,-19.270792252179692,0.0,-19.270792252179692,0.0
7100.908650865087,-19.312539234212302,0.0,-19.312539234212302,0.0
7200.918631863186,-24.00502321791071,0.0,-24.00502321791071,0.0
7300.928612861287,-22.280515572946083,0.0,-22.280515572946083,0.0
7400.938593859387,-27.599722885669294,0.0,-27.599722885669294,0.0
7500.948574857486,-31.099531090826076,0.0,-31.099531090826076,0.0
7600.958555855586,-29.530486068270488,0.0,-29.530486068270488,0.0
7700.968536853686,-34.18351100292365,0.0,-34.18351100292365,0.0
7800.978517851786,-32.642109501345566,0.0,-32.642109501345566,0.0
7900.988498849885,-32.286010522880524,0.0,-32.286010522880524,0.0
8000.998479847985,-34.87102956677104,0.0,-34.87102956677104,0.0
8101.008460846086,-31.993681181437488,0.0,-31.993681181437488,0.0
8201.018441844186,-35.917589019364755,0.0,-35.917589019364755,0.0
8301.028422842286,-29.70576194991146,0.0,-29.70576194991146,0.0
8401.038403840386,-27.853887316832363,0.0,-27.853887316832363,0.0
8501.048384838485,-19.833067471317456,0.0,-19.833067471317456,0.0
8601.058365836585,-9.349620458735576,0.0,-9.349620458735576,0.0
8701.068346834685,-15.202708293678974,0.0,-15.202708293678974,0.0
8801.078327832785,-21.570140607413993,0.0,-21.570140607413993,0.0
8901.088308830886,-30.04503094618514,0.0,-30.04503094618514,0.0
9001.098289828984,-36.177756049200305,0.0,-36.177756049200305,0.0
9101.108270827084,-43.3124377519935,0.0,-43.3124377519935,0.0
9201.118251825184,-38.201561557152715,0.0,-38.201561557152715,0.0
9301.128232823285,-39.40407166230297,0.0,-39.40407166230297,0.0
9401.138213821383,-33.059329324939426,0.0,-33.059329324939426,0.0
9501.148194819483,-44.583010895873066,0.0,-44.583010895873066,0.0
9601.158175817583,-39.725321361367364,0.0,-39.725321361367364,0.0
9701.168156815684,-39.4226979746254,0.0,-39.4226979746254,0.0
9801.178137813784,-46.87444141665364,0.0,-46.87444141665364,0.0
9901.188118811882,-35.61177567910632,0.0,-35.61177567910632,0.0
10001.198099809983,-36.52892874750543,0.0,-36.52892874750543,0.0
10101.208080808083,-26.119286396345352,0.0,-26.119286396345352,0.0
10201.218061806183,-28.697012655458053,0.0,-28.697012655458053,0.0
10301.228042804281,-36.118492631486205,0.0,-36.118492631486205,0.0
10401.238023802382,-35.1291440360713,0.0,-35.1291440360713,0.0
10501.248004800482,-34.5816349582092,0.0,-34.5816349582092,0.0
10601.257985798582,-41.46713794050079,0.0,-41.46713794050079,0.0
10701.267966796682,-37.60519743397893,0.0,-37.60519743397893,0.0
10801.27794779478,-38.41129611146135,0.0,-38.41129611146135,0.0
10901.28792879288,-33.07044504314076,0.0,-33.07044504314076,0.0
11001.297909790981,-35.77197233492089,0.0,-35.77197233492089,0.0
11101.307890789081,-44.638949690538894,0.0,-44.638949690538894,0.0
11201.317871787182,-40.106799039865344,0.0,-40.106799039865344,0.0
11301.32785278528,-44.09325381775537,0.0,-44.09325381775537,0.0
11401.33783378338,-43.53172056195136,0.0,-43.53172056195136,0.0
11501.34781478148,-38.584680101966704,0.0,-38.584680101966704,0.0
11601.35779577958,-33.05910725561115,0.0,-33.05910725561115,0.0
11701.367776777679,-31.521160621637225,0.0,-31.521160621637225,0.0
11801.37775777578,-35.73717770831616,0.0,-35.73717770831616,0.0
11901.38773877388,-34.36393948644738,0.0,-34.36393948644738,0.0
12001.39771977198,-37.894446528104595,0.0,-37.894446528104595,0.0
12101.40770077008,-33.1263444006653,0.0,-33.1263444006653,0.0
12201.417681768178,-45.907267515669105,0.0,-45.907267515669105,0.0
12301.427662766278,-33.51995660586311,0.0,-33.51995660586311,0.0
12401.437643764379,-35.452354492077696,0.0,-35.452354492077696,0.0
12501.447624762479,-37.0046852290868,0.0,-37.0046852290868,0.0
12601.457605760577,-37.02790497496797,0.0,-37.02790497496797,0.0
12701.467586758677,-49.7721862315593,0.0,-49.7721862315593,0.0
12801.477567756778,-46.5625378284727,0.0,-46.5625378284727,0.0
12901.487548754878,-40.56169481767598,0.0,-40.56169481767598,0.0
13001.497529752978,-48.51437321413131,0.0,-48.51437321413131,0.0
13101.507510751077,-58.80953179705534,0.0,-58.80953179705534,0.0
13201.517491749177,-51.070438801179435,0.0,-51.070438801179435,0.0
13301.527472747277,-46.977617561374096,0.0,-46.977617561374096,0.0
