frequency,audio_amplitude,radio_amplitude,combined_amplitude,amplitude_ratio
0.3333333333333333,-2.5271334407308643,0.0,-2.5271334407308643,0.0
100.34330099676633,12.877872931409838,0.0,12.877872931409838,0.0
200.35326866019935,10.174245029380161,0.0,10.174245029380161,0.0
300.3632363236323,4.692161591402126,0.0,4.692161591402126,0.0
400.3732039870653,5.526667838297108,0.0,5.526667838297108,0.0
500.38317165049835,1.7692185526843356,0.0,1.7692185526843356,0.0
600.3931393139313,1.7944562742535823,0.0,1.7944562742535823,0.0
700.4031069773644,-1.8119032710730665,0.0,-1.8119032710730665,0.0
800.4130746407974,0.8854462403774567,0.0,0.8854462403774567,0.0
900.4230423042304,-16.692443362474517,0.0,-16.692443362474517,0.0
1000.4330099676635,-10.60231997198634,0.0,-10.60231997198634,0.0
1100.4429776310963,-13.78873816285424,0.0,-13.78873816285424,0.0
1200.4529452945292,-13.482474667667518,0.0,-13.482474667667518,0.0
1300.4629129579623,-12.839904298852302,0.0,-12.839904298852302,0.0
1400.4728806213952,-12.798498622551431,0.0,-12.798498622551431,0.0
1500.4828482848284,-4.977353542363908,0.0,-4.977353542363908,0.0
1600.4928159482613,-11.661078596075777,0.0,-11.661078596075777,0.0
1700.5027836116942,-5.7392793935811035,0.0,-5.7392793935811035,0.0
1800.5127512751274,-1.243359007817857,0.0,-1.243359007817857,0.0
1900.5227189385603,0.7229526335285633,0.0,0.7229526335285633,0.0
2000.5326866019934,-3.351840328897018,0.0,-3.351840328897018,0.0
2100.5426542654263,-6.255543442814702,0.0,-6.255543442814702,0.0
2200.5526219288595,-6.2803817032438065,0.0,-6.2803817032438065,0.0
2300.5625895922926,4.87857735032278,0.0,4.87857735032278,0.0
2400.5725572557253,2.2530541532307944,0.0,2.2530541532307944,0.0
2500.5825249191585,2.2195628754911434,0.0,2.2195628754911434,0.0
2600.5924925825916,1.6634538223626802,0.0,1.6634538223626802,0.0
2700.6024602460247,4.835938370482945,0.0,4.835938370482945,0.0
2800.6124279094574,-4.654629009210703,0.0,-4.654629009210703,0.0
2900.6223955728906,3.2210608992748933,0.0,3.2210608992748933,0.0
3000.6323632363237,1.9201827084377825,0.0,1.9201827084377825,0.0
3100.6423308997564,-1.9892623553560438,0.0,-1.9892623553560438,0.0
3200.6522985631896,-10.510324696354452,0.0,-10.510324696354452,0.0
3300.6622662266227,-12.313934603835081,0.0,-12.313934603835081,0.0
3400.6722338900554,-6.884836729662827,0.0,-6.884836729662827,0.0
3500.6822015534885,-10.720653477849421,0.0,-10.720653477849421,0.0
3600.6921692169217,-5.027618713147449,0.0,-5.027618713147449,0.0
3700.7021368803544,-12.5179293481561,0.0,-12.5179293481561,0.0
3800.7121045437875,-10.78684902896079,0.0,-10.78684902896079,0.0
3900.7220722072207,-12.233544196657423,0.0,-12.233544196657423,0.0
4000.732039870654,-18.44905483812543,0.0,-18.44905483812543,0.0
4100.742007534086,-10.68660848306323,0.0,-10.68660848306323,0.0
4200.751975197519,-14.881966176174451,0.0,-14.881966176174451,0.0
4300.761942860952,-18.912767846034086,0.0,-18.912767846034086,0.0
4400.771910524385,-14.765741446401643,0.0,-14.765741446401643,0.0
4500.781878187818,-7.730732780136275,0.0,-7.730732780136275,0.0
4600.791845851251,-8.566403613404207,0.0,-8.566403613404207,0.0
4700.801813514684,-10.162379792983405,0.0,-10.162379792983405,0.0
4800.811781178117,-5.381577167171978,0.0,-5.381577167171978,0.0
4900.82174884155,-12.781798671315967,0.0,-12.781798671315967,0.0
5000.831716504983,-13.419824224707124,0.0,-13.419824224707124,0.0
5100.841684168417,-2.6878935540548765,0.0,-2.6878935540548765,0.0
5200.851651831849,-11.127568525101504,0.0,-11.127568525101504,0.0
5300.861619495282,-12.53885914825474,0.0,-12.53885914825474,0.0
5400.871587158716,-5.651153129758083,0.0,-5.651153129758083,0.0
5500.881554822148,-11.239759271822297,0.0,-11.239759271822297,0.0
5600.891522485581,-6.687135031861692,0.0,-6.687135031861692,0.0
5700.9014901490145,-4.184483723011229,0.0,-4.184483723011229,0.0
5800.911457812447,-5.918358844811917,0.0,-5.918358844811917,0.0
5900.92142547588,-13.123100190349264,0.0,-13.123100190349264,0.0
6000.9313931393135,-6.709868099959494,0.0,-6.709868099959494,0.0
6100.941360802746,-6.87221196320977,0.0,-6.87221196320977,0.0
6200.951328466179,-10.0155176243685,0.0,-10.0155176243685,0.0
6300.9612961296125,-10.806111881617241,0.0,-10.806111881617241,0.0
6400.971263793045,-2.028592354280118,0.0,-2.028592354280118,0.0
6500.981231456478,-7.645621566934073,0.0,-7.645621566934073,0.0
6600.9911991199115,-20.67857988855846,0.0,-20.67857988855846,0.0
6701.001166783344,-3.685031738706306,0.0,-3.685031738706306,0.0
6801.011134446777,-6.481443024743208,0.0,-6.481443024743208,0.0
6901.02110211021,-7.837883081322539,0.0,-7.837883081322539,0.0
7001.031069773643,-5.355824698632539,0.0,-5.355824698632539,0.0
7101.041037437076,-0.42036530206408296,0.0,-0.42036530206408296,0.0
7201.051005100509,-14.705215418101112,0.0,-14.705215418101112,0.0
7301.060972763942,-1.7732588840387749,0.0,-1.7732588840387749,0.0
7401.070940427375,-9.121763850772792,0.0,-9.121763850772792,0.0
7501.080908090808,-4.010569482113032,0.0,-4.010569482113032,0.0
7601.090875754241,-5.406709125394163,0.0,-5.406709125394163,0.0
7701.100843417674,-3.0706138343303597,0.0,-3.0706138343303597,0.0
7801.110811081107,-2.4380077835430574,0.0,-2.4380077835430574,0.0
