frequency,audio_amplitude,radio_amplitude,combined_amplitude,amplitude_ratio
1.0,-8.571436663840942,0.0,-8.571436663840942,0.0
101.00990099009901,-1.8823067773153173,0.0,-1.8823067773153173,0.0
201.01980198019803,-14.740359855122605,0.0,-14.740359855122605,0.0
301.029702970297,-22.64792090440725,0.0,-22.64792090440725,0.0
401.03960396039605,-20.00219502654644,0.0,-20.00219502654644,0.0
501.0495049504951,-21.95925684096304,0.0,-21.95925684096304,0.0
601.059405940594,-29.805385858190945,0.0,-29.805385858190945,0.0
701.0693069306931,-29.99033676769252,0.0,-29.99033676769252,0.0
801.0792079207921,-23.862021693050785,0.0,-23.862021693050785,0.0
901.0891089108911,-26.59130156435356,0.0,-26.59130156435356,0.0
1001.0990099009902,-26.524258674360244,0.0,-26.524258674360244,0.0
1101.1089108910892,-33.718551318403144,0.0,-33.718551318403144,0.0
1201.118811881188,-39.450009522241366,0.0,-39.450009522241366,0.0
1301.1287128712872,-34.457680194746004,0.0,-34.457680194746004,0.0
1401.1386138613861,-31.40737206261302,0.0,-31.40737206261302,0.0
1501.1485148514853,-19.21625448532615,0.0,-19.21625448532615,0.0
1601.1584158415842,-22.639475834767758,0.0,-22.639475834767758,0.0
1701.1683168316831,-29.06791029776499,0.0,-29.06791029776499,0.0
1801.1782178217823,-26.12684739693743,0.0,-26.12684739693743,0.0
1901.1881188118812,-21.835594596102116,0.0,-21.835594596102116,0.0
2001.1980198019803,-25.032501641393154,0.0,-25.032501641393154,0.0
2101.207920792079,-23.898755065670912,0.0,-23.898755065670912,0.0
2201.2178217821784,-33.34708109977529,0.0,-33.34708109977529,0.0
2301.2277227722775,-35.918747670302885,0.0,-35.918747670302885,0.0
2401.237623762376,-36.452333525375735,0.0,-36.452333525375735,0.0
2501.2475247524753,-39.445011523833955,0.0,-39.445011523833955,0.0
2601.2574257425745,-41.69964574777514,0.0,-41.69964574777514,0.0
2701.267326732673,-38.065358303464116,0.0,-38.065358303464116,0.0
2801.2772277227723,-45.47156588878611,0.0,-45.47156588878611,0.0
2901.2871287128714,-38.93488813961649,0.0,-38.93488813961649,0.0
3001.2970297029706,-23.445763117638602,0.0,-23.445763117638602,0.0
3101.3069306930693,-26.618663557231816,0.0,-26.618663557231816,0.0
3201.3168316831684,-32.11217483081319,0.0,-32.11217483081319,0.0
3301.3267326732675,-39.224094691484964,0.0,-39.224094691484964,0.0
3401.3366336633662,-41.82249222654373,0.0,-41.82249222654373,0.0
3501.3465346534654,-36.20792904121599,0.0,-36.20792904121599,0.0
3601.3564356435645,-36.319154582158355,0.0,-36.319154582158355,0.0
3701.3663366336636,-33.260696209313366,0.0,-33.260696209313366,0.0
3801.3762376237623,-34.861245534092234,0.0,-34.861245534092234,0.0
3901.3861386138615,-33.66852336341244,0.0,-33.66852336341244,0.0
4001.3960396039606,-38.36410625162836,0.0,-38.36410625162836,0.0
4101.40594059406,-38.127502133141604,0.0,-38.127502133141604,0.0
4201.415841584158,-34.93805510991416,0.0,-34.93805510991416,0.0
4301.425742574257,-28.401048572829673,0.0,-28.401048572829673,0.0
4401.435643564357,-27.89451889758246,0.0,-27.89451889758246,0.0
4501.445544554455,-27.16094034734569,0.0,-27.16094034734569,0.0
4601.455445544555,-30.72968826591111,0.0,-30.72968826591111,0.0
4701.465346534654,-41.561356292506076,0.0,-41.561356292506076,0.0
4801.475247524752,-39.356525303114445,0.0,-39.356525303114445,0.0
4901.485148514852,-39.49124573019219,0.0,-39.49124573019219,0.0
5001.495049504951,-34.3387688864404,0.0,-34.3387688864404,0.0
5101.504950495049,-37.72397357504892,0.0,-37.72397357504892,0.0
5201.514851485149,-39.51105917733013,0.0,-39.51105917733013,0.0
5301.524752475248,-41.113559575747146,0.0,-41.113559575747146,0.0
5401.534653465346,-44.47801877157326,0.0,-44.47801877157326,0.0
5501.544554455446,-41.488891418852376,0.0,-41.488891418852376,0.0
5601.554455445545,-36.713977247749355,0.0,-36.713977247749355,0.0
5701.564356435643,-40.802785348050065,0.0,-40.802785348050065,0.0
5801.574257425743,-42.74725375706411,0.0,-42.74725375706411,0.0
5901.584158415842,-43.005396406952286,0.0,-43.005396406952286,0.0
6001.594059405941,-43.069856971496115,0.0,-43.069856971496115,0.0
6101.60396039604,-49.476731595173256,0.0,-49.476731595173256,0.0
6201.6138613861385,-43.7105998397377,0.0,-43.7105998397377,0.0
6301.623762376238,-47.458382102824366,0.0,-47.458382102824366,0.0
6401.633663366337,-45.08383726034477,0.0,-45.08383726034477,0.0
6501.6435643564355,-45.37601143399975,0.0,-45.37601143399975,0.0
6601.653465346535,-42.488592904720996,0.0,-42.488592904720996,0.0
6701.663366336634,-47.54837241139343,0.0,-47.54837241139343,0.0
6801.6732673267325,-43.51926188517293,0.0,-43.51926188517293,0.0
6901.683168316832,-43.30606446106931,0.0,-43.30606446106931,0.0
7001.693069306931,-45.87763161804474,0.0,-45.87763161804474,0.0
7101.70297029703,-37.350418621422335,0.0,-37.350418621422335,0.0
7201.712871287129,-44.09143430293689,0.0,-44.09143430293689,0.0
7301.722772277228,-54.025611532917836,0.0,-54.025611532917836,0.0
7401.732673267327,-44.43479222025332,0.0,-44.43479222025332,0.0
7501.742574257426,-42.12755200328795,0.0,-42.12755200328795,0.0
7601.752475247525,-42.59711055524244,0.0,-42.59711055524244,0.0
7701.762376237624,-41.2048315262614,0.0,-41.2048315262614,0.0
7801.772277227723,-43.373506523411045,0.0,-43.373506523411045,0.0
7901.782178217822,-46.48720677797028,0.0,-46.48720677797028,0.0
8001.792079207921,-44.25310450095459,0.0,-44.25310450095459,0.0
