frequency,audio_amplitude,radio_amplitude,combined_amplitude,amplitude_ratio
0.3333333333333333,-31.86783106490474,0.0,-31.86783106490474,0.0
100.34330099676633,0.8296674303949055,0.0,0.8296674303949055,0.0
200.35326866019935,-3.679336546534087,0.0,-3.679336546534087,0.0
300.3632363236323,-12.968212408345423,0.0,-12.968212408345423,0.0
400.3732039870653,-11.906737503606877,0.0,-11.906737503606877,0.0
500.38317165049835,-21.5271720478877,0.0,-21.5271720478877,0.0
600.3931393139313,-25.025674521963907,0.0,-25.025674521963907,0.0
700.4031069773644,-20.967159034766073,0.0,-20.967159034766073,0.0
800.4130746407974,-32.287737575789464,0.0,-32.287737575789464,0.0
900.4230423042304,-23.063925811309925,0.0,-23.063925811309925,0.0
1000.4330099676635,-33.031602528196096,0.0,-33.031602528196096,0.0
1100.4429776310963,-29.99868200336896,0.0,-29.99868200336896,0.0
1200.4529452945292,-32.35763914595016,0.0,-32.35763914595016,0.0
1300.4629129579623,-29.20698823368242,0.0,-29.20698823368242,0.0
1400.4728806213952,-23.033695591541477,0.0,-23.033695591541477,0.0
1500.4828482848284,-33.760482947717605,0.0,-33.760482947717605,0.0
1600.4928159482613,-22.043508929338646,0.0,-22.043508929338646,0.0
1700.5027836116942,-29.59131273206897,0.0,-29.59131273206897,0.0
1800.5127512751274,-26.36549614330234,0.0,-26.36549614330234,0.0
1900.5227189385603,-23.583068892016247,0.0,-23.583068892016247,0.0
2000.5326866019934,-24.463778863615005,0.0,-24.463778863615005,0.0
2100.5426542654263,-27.450203382026643,0.0,-27.450203382026643,0.0
2200.5526219288595,-28.49839710317586,0.0,-28.49839710317586,0.0
2300.5625895922926,-25.080693125012537,0.0,-25.080693125012537,0.0
2400.5725572557253,-28.398574028375585,0.0,-28.398574028375585,0.0
2500.5825249191585,-32.1268414390243,0.0,-32.1268414390243,0.0
2600.5924925825916,-36.64111702602676,0.0,-36.64111702602676,0.0
2700.6024602460247,-28.234001898885992,0.0,-28.234001898885992,0.0
2800.6124279094574,-27.889096096711242,0.0,-27.889096096711242,0.0
2900.6223955728906,-33.196813243036466,0.0,-33.196813243036466,0.0
3000.6323632363237,-25.564635372409363,0.0,-25.564635372409363,0.0
3100.6423308997564,-24.277236666022617,0.0,-24.277236666022617,0.0
3200.6522985631896,-34.5080829006171,0.0,-34.5080829006171,0.0
3300.6622662266227,-29.37922721080615,0.0,-29.37922721080615,0.0
3400.6722338900554,-22.440722454423618,0.0,-22.440722454423618,0.0
3500.6822015534885,-27.606859785919653,0.0,-27.606859785919653,0.0
3600.6921692169217,-22.538278969679236,0.0,-22.538278969679236,0.0
3700.7021368803544,-22.866766322208523,0.0,-22.866766322208523,0.0
3800.7121045437875,-20.851145341490863,0.0,-20.851145341490863,0.0
3900.7220722072207,-27.805924145496874,0.0,-27.805924145496874,0.0
4000.732039870654,-28.29521844571883,0.0,-28.29521844571883,0.0
4100.742007534086,-24.33042621368555,0.0,-24.33042621368555,0.0
4200.751975197519,-21.011867678814625,0.0,-21.011867678814625,0.0
4300.761942860952,-23.24267645940878,0.0,-23.24267645940878,0.0
4400.771910524385,-16.371701157523212,0.0,-16.371701157523212,0.0
4500.781878187818,-26.835778904907926,0.0,-26.835778904907926,0.0
4600.791845851251,-16.014783381687202,0.0,-16.014783381687202,0.0
4700.801813514684,-17.746105729437964,0.0,-17.746105729437964,0.0
4800.811781178117,-20.535901122957778,0.0,-20.535901122957778,0.0
4900.82174884155,-28.09531570578491,0.0,-28.09531570578491,0.0
5000.831716504983,-23.964176554635657,0.0,-23.964176554635657,0.0
5100.841684168417,-21.693972769800492,0.0,-21.693972769800492,0.0
5200.851651831849,-17.086783882181674,0.0,-17.086783882181674,0.0
5300.861619495282,-23.379291201831037,0.0,-23.379291201831037,0.0
5400.871587158716,-20.049826194620405,0.0,-20.049826194620405,0.0
5500.881554822148,-22.40656543714057,0.0,-22.40656543714057,0.0
5600.891522485581,-19.807453889681298,0.0,-19.807453889681298,0.0
5700.9014901490145,-26.50043805869142,0.0,-26.50043805869142,0.0
5800.911457812447,-21.716969658632422,0.0,-21.716969658632422,0.0
5900.92142547588,-34.355279482353986,0.0,-34.355279482353986,0.0
6000.9313931393135,-21.96559392936784,0.0,-21.96559392936784,0.0
6100.941360802746,-23.796284066939602,0.0,-23.796284066939602,0.0
6200.951328466179,-22.40550228358675,0.0,-22.40550228358675,0.0
6300.9612961296125,-16.604821369174818,0.0,-16.604821369174818,0.0
6400.971263793045,-30.79338052915542,0.0,-30.79338052915542,0.0
6500.981231456478,-13.339769734137171,0.0,-13.339769734137171,0.0
6600.9911991199115,-20.823993845131994,0.0,-20.823993845131994,0.0
6701.001166783344,-21.622502020493265,0.0,-21.622502020493265,0.0
6801.011134446777,-27.62278287719806,0.0,-27.62278287719806,0.0
6901.02110211021,-22.874674240362463,0.0,-22.874674240362463,0.0
7001.031069773643,-18.610775666742637,0.0,-18.610775666742637,0.0
7101.041037437076,-21.379851877217657,0.0,-21.379851877217657,0.0
7201.051005100509,-17.249365328907835,0.0,-17.249365328907835,0.0
7301.060972763942,-23.23811602590623,0.0,-23.23811602590623,0.0
7401.070940427375,-19.67285708014853,0.0,-19.67285708014853,0.0
7501.080908090808,-28.24806860023274,0.0,-28.24806860023274,0.0
7601.090875754241,-19.33628084415594,0.0,-19.33628084415594,0.0
7701.100843417674,-17.08666415969211,0.0,-17.08666415969211,0.0
7801.110811081107,-24.20739410947062,0.0,-24.20739410947062,0.0
7901.12077874454,-16.745503684085456,0.0,-16.745503684085456,0.0
8001.130746407974,-23.03363424657821,0.0,-23.03363424657821,0.0
8101.140714071406,-23.890241944267583,0.0,-23.890241944267583,0.0
8201.15068173484,-20.13474244442291,0.0,-20.13474244442291,0.0
8301.160649398273,-25.451787728190737,0.0,-25.451787728190737,0.0
8401.170617061705,-21.252094528231893,0.0,-21.252094528231893,0.0
8501.18058472514,-25.10859114337859,0.0,-25.10859114337859,0.0
8601.190552388573,-34.391625725114395,0.0,-34.391625725114395,0.0
8701.200520052005,-21.369827591287596,0.0,-21.369827591287596,0.0
8801.210487715438,-21.589888689704072,0.0,-21.589888689704072,0.0
8901.22045537887,-15.087173943336907,0.0,-15.087173943336907,0.0
9001.230423042303,-19.385803835540695,0.0,-19.385803835540695,0.0
9101.240390705738,-30.37835230792657,0.0,-30.37835230792657,0.0
9201.25035836917,-24.47229812917271,0.0,-24.47229812917271,0.0
9301.260326032603,-23.18234827600819,0.0,-23.18234827600819,0.0
9401.270293696036,-21.627052567482334,0.0,-21.627052567482334,0.0
9501.280261359469,-34.526051334801906,0.0,-34.526051334801906,0.0
9601.290229022901,-19.621043330153334,0.0,-19.621043330153334,0.0
9701.300196686336,-24.367266400490422,0.0,-24.367266400490422,0.0
9801.310164349768,-19.01591644533756,0.0,-19.01591644533756,0.0
9901.320132013201,-18.29705841702769,0.0,-18.29705841702769,0.0
10001.330099676634,-18.204723411170818,0.0,-18.204723411170818,0.0
10101.340067340067,-32.0482191306802,0.0,-32.0482191306802,0.0
10201.350035003501,-25.935117472888283,0.0,-25.935117472888283,0.0
10301.360002666934,-24.385938737133664,0.0,-24.385938737133664,0.0
10401.369970330366,-21.191895971421324,0.0,-21.191895971421324,0.0
10501.3799379938,-25.981914107176753,0.0,-25.981914107176753,0.0
10601.389905657232,-27.30868955081006,0.0,-27.30868955081006,0.0
10701.399873320664,-26.219836753464744,0.0,-26.219836753464744,0.0
10801.409840984099,-20.614901357590657,0.0,-20.614901357590657,0.0
10901.419808647532,-25.785151556913856,0.0,-25.785151556913856,0.0
11001.429776310964,-25.92717681878994,0.0,-25.92717681878994,0.0
11101.439743974397,-27.22860153182099,0.0,-27.22860153182099,0.0
11201.44971163783,-29.10891066023566,0.0,-29.10891066023566,0.0
11301.459679301262,-29.89770237523571,0.0,-29.89770237523571,0.0
11401.469646964697,-27.375550105817712,0.0,-27.375550105817712,0.0
11501.47961462813,-28.73014230893642,0.0,-28.73014230893642,0.0
11601.489582291562,-26.33583509481786,0.0,-26.33583509481786,0.0
11701.499549954995,-25.80821923987108,0.0,-25.80821923987108,0.0
11801.509517618428,-27.919672427367935,0.0,-27.919672427367935,0.0
11901.51948528186,-21.58011178670632,0.0,-21.58011178670632,0.0
12001.529452945295,-24.691218294439977,0.0,-24.691218294439977,0.0
12101.539420608728,-28.47071865087147,0.0,-28.47071865087147,0.0
12201.54938827216,-32.80220183916357,0.0,-32.80220183916357,0.0
